name,slope,intercept,r_squared,avg_l_min,avg_global_C,avg_local_C,density,avg_k,nodes,edges
Abuja,11.03343656,0.606014947,0.982996854,3.666666667,0,0,0.2,1.8,10,9
Almaty,23.97710416,0.782009951,0.997686423,135.2222367,0.006264759,0.00383085,8.44E-05,2.338771385,27706,32399
Amsterdam,16.17312361,0.930310911,0.974439578,205.5446722,0.01554751,0.007881363,3.48E-05,2.226540863,63909,71148
Ankara,42.43353424,1.994345756,0.99678259,233.5481988,0.01462457,0.009717879,1.83E-05,2.485051303,135664,168566
As-Suwayda,43.53064927,0.359966993,0.986151325,114.2441397,0.013098453,0.008012906,0.000119693,2.410862334,20143,24281
Athens,78.38040475,3.69065032,0.998538041,645.0439111,0.009730616,0.00452066,6.32E-06,2.327149077,368193,428420
Atlanta,15.21230949,0.233020242,0.996570148,322.2098834,0.003084789,0.002074218,4.45E-06,2.133924684,480031,512175
Auckland,25.09695825,1.398205002,0.995116157,212.3761765,0.009315755,0.008198978,3.56E-05,2.189158842,61451,67263
Austin,27.0434076,0.729951727,0.994975774,320.4880732,0.005465464,0.003217983,1.09E-05,2.204360914,201976,222614
Baghdad,16.73923307,0.866859313,0.98855393,10.7540293,0.05106383,0.05,0.023809524,2.476190476,105,130
Bangkok,53.34028092,2.600511411,0.987281638,3.514619883,0,0,0.116959064,2.105263158,19,20
Barcelona,37.92328036,1.866742746,0.99683833,438.5716415,0.00962857,0.004555119,7.24E-06,2.222785008,307202,341422
Batticaloa,15.01493749,1.258667404,0.989736334,220.702483,0.003676471,0.002316006,0.000213407,2.253574472,10561,11900
Beijing,47.9162556,3.155697618,0.994350678,213.3287551,0.016656409,0.008032897,2.78E-05,2.350668577,84433,99237
Bejaia,16.18807227,0.62209853,0.997876285,308.6191588,0.012931034,0.005443699,0.000309896,2.12123868,6846,7261
Bengaluru,20.28344205,0.854964881,0.98914901,194.2613564,0.013551597,0.00942403,2.32E-05,2.363146509,101700,120166
Berlin,47.33237824,2.569739622,0.991434577,410.4807236,0.015125528,0.008452809,5.32E-06,2.269647954,426393,483881
Bilbao,43.43296169,2.668906104,0.998848248,568.8914633,0.007828403,0.003358751,2.11E-05,2.1274464,100607,107018
Birmingham,13.1283167,1.084944706,0.985434174,346.5018914,0.009325272,0.00562781,7.68E-06,2.146270088,279524,299967
Bogota,37.11343527,2.42559566,0.993877427,7.333333333,0,0,0.095238095,1.904761905,21,20
Bordeaux,17.3574431,3.306356521,0.932560677,203.1466838,0.01765974,0.01330137,2.66E-05,2.256675544,84862,95753
Boston,17.89863439,0.743896139,0.996996853,713.9461634,0.002376823,0.001045935,2.34E-06,2.12836001,909707,968092
Brasilia,66.98316566,2.930109353,0.977776065,152.0038528,0.023836343,0.022855335,2.66E-05,2.645684014,99479,131595
Brno,29.93137226,1.150746122,0.991117228,209.8517838,0.008817888,0.004576984,2.84E-05,2.144748852,75593,81064
Brussels,14.54111,0.294444458,0.976403052,216.1163256,0.017038033,0.010888253,1.40E-05,2.259830483,160928,181835
Bucharest,44.90821745,5.739284681,0.900929241,217.4682685,0.012816063,0.008130286,2.92E-05,2.357744108,80784,95234
Budapest,42.1727765,2.314755216,0.974846495,294.078836,0.013186929,0.008040789,1.27E-05,2.354610466,185003,217805
Buenos Aires,16.26646841,1.82535464,0.954403722,211.1478317,0.01508495,0.014792652,1.66E-05,3.254935107,196399,319633
Cairo,30.20175636,1.702494256,0.987740617,177.6214874,0.012432565,0.007857407,2.92E-05,2.47619833,84889,105101
Calgary,13.74402026,0.690232301,0.98162139,147.9939116,0.021323865,0.016690112,2.91E-05,2.336156677,80165,93639
Campo Grande,16.26368987,3.561931864,0.838163596,99.46393959,0.012959924,0.012150297,8.61E-05,2.928955645,34021,49823
Canberra,79.27491103,3.572043155,0.997796153,251.7425585,0.013714847,0.007168799,3.12E-05,2.195807771,70416,77310
Cantabria,53.06621081,2.963740112,0.999251008,1096.225203,0.005099309,0.002075493,7.12E-06,2.083834177,292673,304941
Cardiff-Newport-Bristol-Bath,23.27509894,1.694792274,0.995440708,425.1714119,0.006846215,0.004558416,1.17E-05,2.132837921,181936,194020
Cartagena,27.56151509,0.982763354,0.965681804,1.666666667,0,0,0.5,1.5,4,3
Charlotte,13.86759356,0.293142612,0.997454083,333.1249663,0.002121625,0.001220272,7.26E-06,2.116843791,291603,308639
Chattanooga,26.32478526,0.790905865,0.990057334,207.9282825,0.006006962,0.003561737,3.37E-05,2.183369594,64809,70751
Chelyabinsk,39.6297118,1.665285603,0.995208447,180.8583839,0.010155661,0.0053406,5.35E-05,2.239284775,41833,46838
Chengdu,14.11209991,0.67738741,0.994076954,103.9810682,0.008497047,0.004165148,0.0001116,2.25620734,20218,22808
Chennai,12.43609355,0.628231148,0.989798785,11.26188863,0.014285714,0.011764706,0.018154722,2.196721311,122,134
Chicago,16.09620993,0.174571454,0.994084283,244.533571,0.007391817,0.005539611,5.38E-06,2.398640844,445865,534735
Chongqing,107.1436175,5.151906739,0.999117448,913.1088216,0.003988435,0.001320132,3.21E-05,2.080625511,64843,67457
Cincinnati,13.12018081,0.566483046,0.959041741,344.599663,0.003645513,0.00198008,8.72E-06,2.11708526,242917,257138
Cleveland,18.94490467,0.327087114,0.996091622,293.8483225,0.004030277,0.002697026,5.27E-06,2.219270885,421278,467465
Colchester,10.79763185,0.643444347,0.996237024,278.4357549,0.006569791,0.00351559,5.57E-05,2.094721158,37584,39364
Colombo,14.57518684,0.709190371,0.999425257,264.3750582,0.007827726,0.004156581,4.96E-05,2.166536929,43678,47315
